Episode reward: 0.850	Steps: 16	Avg. loss: 0.0	Avg. reward: 0.85	Avg. Q: 1.0	Greedinessless: 0.85	Vanilla reward: 24.000
Episode reward: -0.750	Steps: 4463	Avg. loss: 0.0036995159352954943	Avg. reward: -0.28157894736842126	Avg. Q: 0.8590350389480591	Greedinessless: 0.02	Vanilla reward: -345.000
Episode reward: 0.990	Steps: 4465	Avg. loss: 0.0003059489536099136	Avg. reward: -0.2650649350649353	Avg. Q: 0.8873487313588461	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: -0.750	Steps: 4540	Avg. loss: 0.002177648218429041	Avg. reward: -0.2712820512820515	Avg. Q: 0.8631966190867953	Greedinessless: 0.02	Vanilla reward: -325.000
Episode reward: -0.750	Steps: 4615	Avg. loss: 0.0031354994567259886	Avg. reward: -0.277341772151899	Avg. Q: 0.8545241284370423	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 4690	Avg. loss: 0.005548870756300809	Avg. reward: -0.2832500000000002	Avg. Q: 0.8613006618287828	Greedinessless: 0.02	Vanilla reward: -410.000
Episode reward: -0.750	Steps: 4765	Avg. loss: 0.001730249021229132	Avg. reward: -0.28901234567901257	Avg. Q: 0.8666471672058106	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 4840	Avg. loss: 0.0037963070980319906	Avg. reward: -0.2946341463414636	Avg. Q: 0.8530470395088195	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 4915	Avg. loss: 0.0014256467673274325	Avg. reward: -0.30012048192771107	Avg. Q: 0.871817586686876	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 4990	Avg. loss: 0.003737361585655507	Avg. reward: -0.3054761904761907	Avg. Q: 0.8576436389817131	Greedinessless: 0.02	Vanilla reward: -360.000
Episode reward: 0.890	Steps: 5002	Avg. loss: 0.0026470755595558635	Avg. reward: -0.29141176470588254	Avg. Q: 0.8573636694086922	Greedinessless: 0.02	Vanilla reward: 38.000
Episode reward: 0.990	Steps: 5004	Avg. loss: 7.563598046544939e-05	Avg. reward: -0.276511627906977	Avg. Q: 0.8673209249973297	Greedinessless: 0.02	Vanilla reward: 95.000
Episode reward: -0.750	Steps: 5079	Avg. loss: 0.001910718105540986	Avg. reward: -0.28195402298850597	Avg. Q: 0.8055029410786099	Greedinessless: 0.02	Vanilla reward: -315.000
Episode reward: -0.750	Steps: 5154	Avg. loss: 0.001533462948780078	Avg. reward: -0.2872727272727275	Avg. Q: 0.8002149216334025	Greedinessless: 0.02	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 5229	Avg. loss: 0.0018783997519150081	Avg. reward: -0.2924719101123598	Avg. Q: 0.7889389077822367	Greedinessless: 0.02	Vanilla reward: -310.000
Episode reward: -0.750	Steps: 5304	Avg. loss: 0.0022781475659269888	Avg. reward: -0.29755555555555574	Avg. Q: 0.7976045905219185	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 5379	Avg. loss: 0.0038944511565609397	Avg. reward: -0.30252747252747275	Avg. Q: 0.7995671841833326	Greedinessless: 0.02	Vanilla reward: -315.000
Episode reward: -0.750	Steps: 5454	Avg. loss: 0.0037182662523072827	Avg. reward: -0.3073913043478263	Avg. Q: 0.7930479338434008	Greedinessless: 0.02	Vanilla reward: -300.000
Episode reward: -0.750	Steps: 5529	Avg. loss: 0.0027559583849276685	Avg. reward: -0.3121505376344088	Avg. Q: 0.8333195784356859	Greedinessless: 0.02	Vanilla reward: -405.000
